Wall time,Step,Value
1749910253.22492,0,56.46258544921875
1749910471.783958,1,73.8945541381836
1749910700.6499588,2,88.0952377319336
1749910914.503789,3,98.1292495727539
1749911163.145945,4,98.46939086914062
1749911510.403913,5,98.8945541381836
1749912689.858416,6,99.4047622680664
1749913010.666167,7,99.3197250366211
1749913311.3183649,8,99.65986633300781
1749913613.9198248,9,99.7448959350586
1749913921.809928,10,99.65986633300781
1749914222.536633,11,99.8299331665039
1749914529.211793,12,99.7448959350586
1749915191.490958,13,99.91496276855469
1749915499.333751,14,99.8299331665039
1749915796.481941,15,99.91496276855469
1749916096.2894862,16,100.0
1749916389.8339999,17,99.91496276855469
1749916688.005183,18,99.8299331665039
1749916974.3249679,19,100.0
1749917264.7736819,20,99.8299331665039
1749917677.069982,21,100.0
1749919242.16928,22,100.0
1749919552.765325,23,100.0
1749919867.716823,24,100.0
1749920176.119636,25,100.0
1749920481.669865,26,99.8299331665039
1749808398.3639412,27,99.91496276855469
1749808618.5040278,28,100.0
1749808864.952876,29,99.8299331665039
1749809105.5221272,30,100.0
1749809350.172427,31,100.0
1749811408.735562,32,100.0
1749811774.590558,33,100.0
1749812029.313136,34,99.91496276855469
1749812288.4950469,35,100.0
1749813220.615194,36,100.0
1749813478.354144,37,100.0
1749813732.289576,38,100.0
1749814005.911618,39,100.0
1749814268.787294,40,100.0
1749814592.032322,41,100.0
1749814865.579624,42,100.0
1749815155.663311,43,100.0
1749815447.915356,44,100.0
1749815719.742976,45,99.91496276855469
1749815983.1247869,46,100.0
1749816247.101274,47,100.0
1749816524.469494,48,100.0
1749816785.81129,49,100.0
1749817058.409472,50,100.0
1749817334.559863,51,99.91496276855469
1749817627.829597,52,100.0
1749817917.821085,53,100.0
1749818182.1740239,54,99.91496276855469
1749818453.9435148,55,100.0
1749818735.087129,56,100.0
1749819006.610821,57,100.0
1749819269.223614,58,100.0
1749819552.256106,59,100.0
1749819832.498733,60,100.0
1749820099.0117571,61,100.0
1749820364.016491,62,99.91496276855469
1749820626.1299279,63,100.0
1749820889.560701,64,100.0
1749821153.676971,65,100.0
1749821411.421216,66,100.0
1749822857.4003992,67,100.0
1749823136.347409,68,100.0
1749823411.163289,69,100.0
1749823681.229088,70,100.0
1749823961.744586,71,100.0
1749824228.147485,72,100.0
1749824509.010904,73,100.0
1749824780.845912,74,100.0
1749825051.451062,75,100.0
1749825327.41101,76,100.0
1749825604.1789281,77,100.0
1749825894.769981,78,100.0
1749826182.0759768,79,100.0
1749826456.548646,80,100.0
1749826720.724531,81,100.0
1749827000.3810098,82,100.0
1749827296.243289,83,100.0
1749827570.405749,84,100.0
1749827870.39082,85,100.0
1749828178.481007,86,100.0
1749828522.121845,87,100.0
1749828824.772521,88,100.0
1749829110.321283,89,100.0
1749829376.5461838,90,100.0
